Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
TPD52L2	20.9705	21.22541	19.58943	21.11108	19.57137	19.39322	20.99245	21.1798	20.88024	20.02553	20.65866	21.33772	19.41605	21.95677	21.37841	21.9029	21.8055	22.06943
AKR7A2	21.35789	20.09003	20.7423	22.70309	21.94439	20.25223	21.37793	22.66906	19.20855	15.25987	19.91529	20.28985	20.20168	20.64139	19.76586	18.67366	20.47734	17.77443
PDCD6	20.80955	16.20875	20.97841	21.90987	21.74283	20.99783	20.05881	21.31788	20.25546	18.64484	20.226	20.73281	20.40114	20.27355	20.41442	20.89903	19.75116	19.66801
SH3BGRL	22.87772	21.76539	22.47514	21.64355	23.36266	21.53412	21.63378	22.32312	22.25834	20.13846	20.896	21.23707	23.62701	20.9247	20.67762	20.72883	19.50096	20.44243
FLNB	21.10271	20.62185	22.19403	21.89652	21.26109	19.62015	20.62587	22.28506	19.03193	18.679	19.92933	18.10118	19.98607	17.19375	19.58301	20.91291	21.84632	19.39632
IDH1	20.61252	19.34817	20.16693	20.3954	21.23981	18.99532	20.53858	21.38848	21.21448	19.01264	20.30952	20.14408	21.30441	20.93077	20.48139	20.16938	22.8284	20.96944
NDUFB4	18.99802	19.35119	19.27762	18.68603	18.87216	18.65204	18.8555	19.329	19.2116	18.94252	19.48966	18.75509	19.34681	18.32782	18.64555	19.61736	19.0284	18.62916
DDAH2	21.12231	22.41393	20.7367	20.95837	21.76191	20.72309	22.61746	20.93891	21.70986	20.30419	20.33898	21.37326	20.92933	21.11229	19.29977	22.18135	20.35585	19.28075
CSTB	21.99106	21.51557	21.89822	20.59742	22.58857	22.40091	22.46576	22.62069	22.1154	23.0884	22.46959	24.0818	23.34055	23.07787	23.02504	23.22923	23.08544	23.76263
A1BG	20.78548	21.37608	20.16337	19.66818	18.76195	20.14395	21.29154	20.4139	21.55871	21.35256	21.8205	21.12881	21.73773	20.83576	20.16607	19.43412	20.18979	21.48964
KRT1	21.44253	25.00697	21.29249	22.90003	21.49429	24.36299	21.51355	19.12566	19.64102	19.91806	20.58555	22.34881	23.11973	22.54814	19.90548	20.30819	21.53265	20.30396
ALDH2	21.53507	22.5861	21.67077	21.49008	21.80676	21.65805	21.92484	21.43048	19.86884	19.4361	21.6644	22.50729	22.24205	22.20991	21.07777	21.5231	21.1442	20.34624
PDHA1	20.26178	20.14433	20.87605	19.66192	19.50899	19.45002	19.45366	19.54079	20.21074	18.84076	19.32512	19.59518	20.84873	19.76056	19.80568	19.56782	20.44556	20.0551
FBP1	21.20263	20.80633	20.9544	20.0036	21.33838	20.41349	20.92825	20.99907	21.11724	19.44318	19.57047	20.58518	20.58086	16.15986	19.85568	18.52179	16.75862	18.82389
