Gene.Name.Corresponding.To.Protein	LFQ.intensity.ERp_A_103	LFQ.intensity.ERp_A_104	LFQ.intensity.ERp_A_110	LFQ.intensity.ERp_A_123	LFQ.intensity.ERp_A_137	LFQ.intensity.ERp_A_138	LFQ.intensity.ERp_A_143	LFQ.intensity.ERp_A_144	LFQ.intensity.ERp_A_164	LFQ.intensity.TNBC_10	LFQ.intensity.TNBC_107	LFQ.intensity.TNBC_108	LFQ.intensity.TNBC_12	LFQ.intensity.TNBC_153	LFQ.intensity.TNBC_178	LFQ.intensity.TNBC_188	LFQ.intensity.TNBC_203	LFQ.intensity.TNBC_21
HSPB1	24.5956	24.75832	26.13854	26.34004	24.4864	26.50774	24.4637	24.81167	24.83485	23.36306	24.34354	23.74355	24.97754	23.84546	24.10741	22.52049	22.39435	23.91105
SLC25A5	20.93647	22.44364	21.71758	22.33808	20.91816	21.43766	16.33635	23.27284	22.00388	20.92962	23.40639	22.9502	22.76344	20.94564	22.08151	23.45914	23.31631	23.17347
RPLP0	22.64112	21.63971	22.08024	23.46364	22.44109	20.78987	22.51869	22.75222	22.17901	21.42655	22.91178	23.00922	21.13533	23.32279	22.78331	23.47209	22.8433	20.38574
KRT18	26.52304	25.55988	24.82187	25.00873	26.44017	25.74317	24.54351	23.98068	25.24855	23.44443	23.51497	23.16486	26.25355	23.03684	23.83258	22.46209	24.82711	25.18922
ATP5B	24.9033	25.90196	26.20937	25.06764	25.22162	24.9653	25.41712	26.41114	25.41047	24.86003	26.31905	25.54593	25.05813	24.91137	25.31341	26.40978	25.70686	25.03158
S100A6	22.29356	21.89493	24.02808	23.74673	23.87296	24.14864	22.19937	22.91313	21.66366	21.3063	21.73901	22.40709	22.76353	22.00474	24.24974	23.45638	22.71391	22.31813
ENO1	25.36723	25.2375	25.43409	25.51701	25.72169	24.398	25.8135	25.79959	25.59263	25.30156	25.6659	26.3299	25.5251	26.51113	27.21947	25.94541	27.70028	26.50476
GPI	23.6289	23.05654	23.39336	23.67702	23.34854	22.56244	23.52349	23.79412	22.90535	21.95323	22.66932	23.51917	22.90641	22.36325	22.8395	23.7961	23.97202	23.87671
NPM1	21.61095	21.56565	20.8482	22.06796	21.88978	20.81769	21.50785	22.74827	22.92265	23.35703	22.59589	23.46986	24.15074	23.09727	22.17941	22.49072	24.22118	22.67314
EPHX1	21.8896	22.13602	21.52736	21.5739	20.93128	21.79733	21.6977	22.23698	21.62172	19.37411	22.217	20.12868	17.11797	21.63741	21.66683	24.23023	22.0421	20.18423
DBI	23.46837	23.71303	23.07091	21.69481	23.9878	21.41467	23.0525	23.12512	23.11674	23.57831	22.24899	23.41145	23.09758	24.06768	22.1248	24.35171	23.87858	20.7324
LDHB	20.83754	22.03681	20.59842	20.56253	20.33571	21.37422	20.76361	21.5945	21.02141	21.37767	22.63542	22.23427	21.37167	22.96862	21.66488	22.95161	22.72617	23.38258
P4HB	22.12786	23.09814	21.71954	23.52289	21.92299	19.35331	22.33219	21.6793	22.75075	22.13552	22.82772	22.54548	22.738	22.99011	23.27923	23.22964	23.25868	23.14289
H1F0	24.00282	23.41738	22.91583	22.22764	23.92316	22.41761	23.4462	22.43931	23.56848	25.00975	22.98444	22.58903	25.69782	21.07588	22.15382	21.7862	21.85102	24.29172
CTSD	22.16999	21.19268	22.83731	22.97176	22.97181	22.5963	21.67344	24.69594	22.37743	21.72509	23.26585	22.93727	22.91412	21.72113	23.07063	22.8877	22.43682	21.59651
ANXA2	23.82474	24.40054	23.32499	24.3694	24.42969	23.4706	24.71214	25.6319	23.73076	22.61639	24.50209	23.61144	24.21089	23.83123	23.48062	24.91716	25.05312	23.35568
DCN	24.20792	24.8125	22.77537	22.53993	22.41849	21.85426	25.11862	19.85055	23.0033	24.89384	23.05983	21.22946	23.76951	23.39467	19.98008	21.031	19.4207	23.9943
PFN1	23.69806	22.45219	24.13876	24.35797	25.03461	24.05408	23.1776	24.87825	23.4902	23.51545	24.0597	25.42249	24.15746	24.61003	24.57519	25.5219	25.04218	23.21312
APRT	21.89841	23.19973	21.63396	22.97209	23.32759	22.58233	22.10649	23.04888	22.64115	21.73455	22.84921	23.49228	22.89104	22.7455	22.51932	23.13435	21.35499	22.44897
HSP90AA1	22.31449	22.23841	21.40499	23.38851	22.00347	20.66804	21.92839	22.20267	23.05596	22.57194	22.67642	23.16541	23.10969	22.91548	23.05621	23.71072	24.83427	23.71072
HNRNPC	24.13602	23.90866	23.63134	24.63605	24.70208	23.82211	24.32072	24.656	24.14802	24.72765	23.82997	25.21838	25.0277	24.84857	24.15445	24.73034	24.63854	24.69291
HSP90AB1	23.4913	22.66438	23.52576	25.19287	23.70725	21.70388	23.536	24.93031	24.17577	24.46831	24.22964	24.92357	24.59303	24.30883	24.21089	24.98137	25.83819	24.95633
CTSG	23.2334	25.14744	23.94584	21.57616	23.39702	24.68062	24.44417	23.28715	24.9526	23.87371	25.51057	23.33946	23.13035	22.15697	24.22523	21.4066	20.89977	23.79501
VIM	28.61298	29.3518	28.56114	27.7304	28.60481	28.46209	28.68779	27.58771	27.97591	27.94229	28.22522	28.068	28.55848	27.6797	28.29176	27.24018	28.59655	28.40166
RPS17	22.66282	22.86098	21.60494	22.52858	23.07233	22.9065	22.84858	22.90524	22.74841	22.85738	23.91488	23.71869	22.88271	23.76668	23.00179	23.7043	22.48648	22.533
ANXA5	25.23706	25.53505	25.78062	25.13309	25.37299	25.05813	24.89106	25.35773	24.73454	23.88976	25.83576	24.85105	24.8126	26.15841	25.1102	26.18888	25.0669	24.38765
GSTP1	22.43708	22.68983	22.96772	22.94616	23.12843	21.71842	23.04697	22.4045	22.09636	23.1494	22.11946	23.8102	23.20184	23.00669	22.57496	22.76965	24.08464	23.14527
LGALS1	23.61986	21.34017	23.57034	24.0354	23.28037	22.96095	22.61794	23.51075	22.59288	22.30583	22.46111	21.92713	22.95817	22.04464	22.08492	22.41859	23.16679	22.54823
HMGB1	21.12723	20.2092	21.32257	21.66184	22.87096	20.86876	20.77209	22.73333	21.9455	23.81841	20.60286	22.39168	23.84134	22.00268	21.41095	22.08965	21.93499	23.24493
COX6C	20.9655	20.1332	22.42946	20.67564	21.57136	22.50947	20.54538	22.09281	21.36464	20.72999	22.31269	21.41209	21.95674	21.20168	20.90808	21.86003	20.63183	21.6621
H2AFZ	22.54168	22.96416	22.33544	21.49989	23.78547	23.7681	22.84433	23.84766	23.59537	22.33557	23.04065	22.58256	22.11547	23.13146	23.49546	24.24561	22.95745	22.34989
UQCRFS1P1	20.0308	20.94328	21.04026	20.50669	19.66343	21.34646	20.83291	21.02931	20.15054	20.03268	19.89747	20.03979	20.93553	20.33669	20.38005	19.75326	19.88936	19.97505
GAA	23.05146	20.79757	23.06247	22.45181	24.26177	22.77718	24.0844	25.14876	23.95331	21.60991	21.5032	21.84103	23.07253	21.8963	22.75497	22.93393	21.66092	22.51372
HIST1H1E	25.45736	25.99617	25.26231	24.82265	25.88635	25.25785	25.34499	25.49357	26.28884	29.16751	26.94336	27.50537	28.86426	25.15302	25.49228	26.16737	25.91716	28.03459
TXN	21.01345	21.14295	20.53792	21.90529	20.82439	21.34895	21.75471	21.88189	22.04033	19.45609	20.01522	21.51817	20.62373	23.11471	19.51792	22.36041	23.03621	18.94364
COX5B	21.72293	21.8219	20.49619	20.67435	22.01325	21.52234	21.85901	21.83268	21.81323	21.9347	22.23628	21.76498	22.54976	21.90932	21.79162	21.86469	21.77032	21.74751
CLU	21.91339	20.0997	21.91834	19.68375	22.32485	21.08089	20.6383	22.44766	24.13124	20.54934	22.30131	21.55244	21.45488	21.33101	21.4289	20.88219	20.67994	22.13746
HSPA5	21.16023	23.1503	21.27452	24.34509	22.54248	20.8514	21.53867	22.64337	22.8741	23.09078	24.33531	24.05441	22.58252	23.2558	24.16538	24.42803	24.77042	24.14383
HSPA8	24.92325	24.77966	24.52934	25.47401	24.29719	23.49729	24.74935	25.7603	25.09281	24.67992	24.67395	25.45375	25.63381	25.14822	24.72915	25.90088	26.00475	25.64105
COL6A1	25.69843	24.64631	25.68161	25.66847	25.30264	26.38457	26.01502	24.21623	24.50349	25.56683	24.95198	24.16959	24.76668	24.38007	24.43205	23.85158	22.3717	25.03574
COL6A2	23.49448	21.22964	23.62132	25.54126	23.30145	24.42252	23.8867	21.95493	22.13239	22.18208	21.9929	21.95724	21.43883	22.98995	21.59796	22.26691	20.99542	21.99279
COL6A3	27.22555	26.14248	27.61175	27.38731	26.8208	28.08385	27.48247	25.75649	25.94989	26.67411	26.82651	25.98046	25.90481	26.10299	25.75504	25.76532	24.67788	26.24853
ACTN1	21.66557	21.45769	21.84785	23.41609	21.77648	21.80049	21.84942	21.10974	21.75971	22.40374	21.89423	21.40484	20.71716	21.6206	22.42916	21.05867	22.08203	22.66566
XRCC6	21.89078	22.27887	19.1996	22.97449	22.24232	19.69135	22.8434	21.85037	21.86552	23.15488	21.84207	22.80998	23.29964	22.22826	21.62654	22.15814	22.53678	23.45764
EEF2	23.09521	22.76134	22.58841	24.49179	23.15969	20.81276	23.29852	23.66492	23.17297	23.01591	23.7683	24.3806	22.45919	23.81812	23.29992	24.37159	24.58892	23.93022
AKR1A1	22.27989	22.32276	21.76324	22.48876	22.78437	21.31379	22.63476	22.66997	22.31755	21.36308	22.38031	22.27048	21.59459	22.57466	22.22826	20.99562	21.88822	21.90426
PKM2	26.81849	25.86472	26.42381	27.01829	26.62003	25.79902	27.15962	26.39875	26.26478	24.95846	25.9982	26.54515	26.37748	26.65908	27.26589	26.66452	26.78119	26.58606
HSP90B1	20.85529	21.33391	20.03201	23.32718	20.56523	20.02052	20.59405	21.2451	21.5442	22.78107	22.99495	22.50344	21.74078	22.01209	22.84126	22.28749	23.47122	22.84052
EZR	21.43242	22.14199	21.58082	21.58114	21.43028	21.31645	22.37101	22.43423	21.14774	22.26101	20.85833	22.11318	23.05621	21.98833	21.07907	20.93654	22.87121	23.87708
RPS2	22.8308	21.6577	23.26585	23.45212	23.33402	22.85865	22.53893	23.53422	22.3585	22.90527	23.33634	23.97902	23.24237	23.02982	22.74667	23.9904	23.02312	23.77183
HIST1H1B	22.32116	22.88293	21.33908	22.1811	23.2946	22.23061	22.91552	23.36279	23.70599	26.07824	24.83108	25.56526	26.29237	22.89957	23.1251	23.63234	23.55754	25.3908
HIST1H1C	22.55363	22.65881	23.05715	22.44577	22.97442	22.74776	21.67366	23.3806	23.04597	25.93012	23.37292	25.2676	25.66313	22.51624	23.05525	23.28503	23.38943	24.88902
HMGA1	22.54269	20.59723	22.49155	19.53159	24.12573	24.01691	22.83142	24.70477	24.11799	25.1332	23.70451	24.10757	24.32636	23.29978	24.54604	23.99568	24.17158	24.36306
LGALS3	23.80479	23.61908	23.29418	22.21021	23.93364	23.59252	24.31451	22.26399	22.93047	23.20869	23.14127	23.0733	23.43428	23.51256	23.27313	23.69891	22.80747	23.11626
RPL35A	22.42085	23.1316	22.45254	22.60815	22.83173	21.90562	22.38068	21.62992	22.61666	23.96102	22.91599	23.03723	23.15686	22.51314	23.5322	22.88779	21.2995	23.24413
RPL7	24.58222	23.70778	24.34401	24.37948	24.74571	24.52079	24.19948	24.42605	24.03699	24.83408	25.0655	25.22891	24.57779	24.73428	24.92999	24.98398	24.38798	24.82143
VCL	21.52363	22.64264	21.88509	22.54468	21.37257	21.79428	22.18398	21.1349	21.84686	20.72301	22.01587	22.0901	22.30933	21.49101	21.12465	21.55913	22.15345	22.65272
RPL17	21.95305	21.04073	21.92241	22.83663	22.592	21.96356	22.10095	22.51793	20.82772	21.40561	22.19168	22.69172	21.68492	22.21662	22.22894	23.32759	21.86559	21.31063
PGAM1	24.65436	22.61533	24.8906	23.43428	24.8307	23.35461	24.9147	24.85077	23.84843	23.76344	24.05117	24.81607	24.80956	24.29852	24.13352	24.52151	24.29516	25.03162
NCL	21.61585	22.47078	21.14861	22.95157	22.68671	21.27464	22.17518	22.79751	22.34281	23.62109	23.31188	23.70757	23.34976	23.1765	22.65163	22.98976	24.07651	23.20658
ITIH1	21.83673	21.72146	20.78724	22.7513	20.98266	21.33702	21.69897	21.06026	22.48581	22.76733	21.76304	21.31821	22.40065	21.00051	20.8997	19.46158	19.97673	21.69795
TYMP	23.87483	24.71398	22.46054	22.08236	24.76035	23.44771	24.22964	24.83985	24.24402	25.24045	24.59468	24.91488	24.35991	24.59764	25.8056	24.74919	24.50537	23.88855
PSMB1	21.9577	19.89532	20.12237	21.51778	22.51092	20.19976	22.08541	22.79909	20.31407	22.07261	22.21484	22.55915	21.36501	22.09655	22.93368	22.9633	21.94063	21.73632
COX5A	21.60291	21.27623	22.12899	22.06224	21.888	21.6465	21.84755	22.81638	21.96561	21.9094	22.75424	22.50751	22.76415	22.02928	21.93297	22.55295	22.044	22.14588
PTMS	23.07176	22.56892	21.40639	21.76113	23.5932	23.1254	22.11889	23.52205	23.25954	23.25123	22.10342	22.14756	24.41732	22.88731	22.33952	22.89774	21.48851	23.05033
FLNA	23.89892	24.08724	23.40963	25.39588	23.06097	24.37994	23.2466	23.00187	23.18045	24.11497	23.99826	23.35448	23.26284	23.25753	24.15128	22.58309	24.69003	24.7756
UBA1	23.23939	23.23266	22.94025	23.46762	23.16748	21.23193	23.32745	23.73449	23.43314	22.75399	23.28715	23.85823	23.17632	23.47147	23.57854	24.49033	23.44278	24.33919
NME1-NME2	23.31507	20.99921	22.90894	22.6884	23.61313	22.00086	23.60003	24.48659	23.69615	22.79364	23.33565	23.92642	24.33572	23.79729	23.66579	24.30187	24.45889	23.99809
HNRNPA2B1	25.66088	25.67756	25.53777	25.97518	26.48786	26.12611	25.84122	26.1463	25.98207	25.94813	24.99101	25.97612	26.37936	26.13481	25.26946	25.38617	25.15325	26.20032
SFPQ	23.58738	24.25717	23.24088	23.66731	23.94905	23.53979	24.47686	23.84384	24.19189	24.8723	23.32581	24.78621	24.91884	23.97264	23.13154	23.37862	24.42432	25.19708
PPIB	22.80927	21.48601	22.80412	22.85278	22.83134	20.80719	21.82652	23.10463	22.09291	22.30561	24.55544	23.64845	21.83881	23.34787	23.16679	23.7683	24.0059	22.49358
WARS	19.1738	20.23666	19.83632	19.09741	20.4496	19.81055	20.6035	20.8789	20.17133	22.66802	23.27923	22.67291	21.01073	22.68524	25.82862	21.67072	24.20926	22.2573
RPS3	24.63943	23.19925	24.70403	25.20527	25.08205	24.47135	24.43358	25.19892	24.45613	24.43955	25.17123	25.64933	24.58967	24.66601	24.62316	25.53252	24.6468	24.55391
CFL1	22.60763	21.92825	22.52609	23.65371	23.94708	22.71379	22.7387	24.29102	22.67493	23.03855	23.27597	24.21719	23.67077	23.52013	23.3332	24.51503	23.4438	23.88241
RPS12	20.89785	19.0024	21.01141	21.67198	21.57464	20.65517	21.19508	21.88796	20.51104	20.4287	21.97586	22.40151	21.88762	21.70375	21.41782	21.94525	21.60028	22.05838
ATP5A1	24.15862	24.52516	25.89615	24.79387	24.71701	24.13853	24.41828	25.8611	24.66041	24.42349	25.67452	25.00761	24.86226	23.78097	24.80331	25.73727	25.08339	25.30654
PSMA1	22.64588	22.9935	22.36528	22.69487	23.03706	19.84485	22.98426	23.19418	22.64337	21.93729	23.25129	23.54345	22.85818	22.98983	23.12068	23.22176	22.67549	23.26828
PSMA3	21.91933	20.32751	21.62538	21.80802	21.84934	18.78165	22.2021	21.96342	22.26934	21.29132	21.59113	22.26006	21.50833	22.32149	22.35278	22.75169	21.70986	20.97008
MSN	22.82575	23.27398	22.6305	23.58268	22.66893	21.77238	22.7731	23.30006	22.91194	24.00573	23.61133	23.73376	23.31769	23.10345	24.38014	23.83856	24.7349	23.9839
RPL13	23.86486	23.10898	23.42175	24.111	23.77977	23.58256	23.16638	23.24314	23.8101	24.44903	24.47042	24.74165	24.37425	23.92334	24.48241	24.65031	23.85129	24.61762
S100A4	21.521	19.93134	22.25162	21.31722	23.40458	21.09565	21.24928	22.77336	20.59887	21.23789	21.60041	22.4659	23.24708	21.15691	23.52874	22.34835	21.48763	21.59072
PTBP1	21.92535	22.27682	21.23316	23.56779	22.91949	21.43476	21.95351	22.73812	22.04106	22.26399	22.06428	23.19244	22.74335	22.62834	21.74768	22.13546	22.63482	21.9355
EEF1G	21.98036	21.81076	21.49614	21.98985	21.87759	22.01655	22.06411	21.8685	21.95365	23.15774	22.97334	23.17406	22.15326	22.40512	23.05152	23.65261	23.60569	23.71827
RPL10	23.6659	22.24708	22.93488	23.21571	23.95189	23.02195	23.93436	23.97316	23.63145	24.12463	24.65895	24.15019	23.70567	24.15383	24.23067	24.44139	23.1729	23.92071
APEX1	21.40811	21.27702	21.09925	22.09742	21.93398	21.54538	21.71049	21.73364	21.85563	22.53222	21.6086	22.53036	22.62129	22.63629	21.91317	22.13148	20.79994	22.49414
PSMA5	21.07633	21.78289	21.76	21.88941	21.48979	20.25776	22.50052	21.64447	21.54609	22.09636	21.99124	22.24281	22.35003	22.37584	22.34943	22.13893	22.5577	22.15983
PSMB6	22.55237	21.43847	22.52559	22.72115	22.38911	22.25292	22.75446	22.45573	22.0996	21.59505	21.56607	21.68419	22.22376	22.63112	14.63189	22.36904	20.9619	22.09339
LAP3	20.41007	21.59236	19.23168	20.41173	21.56691	22.33995	20.87388	22.9764	20.94428	21.32701	22.02374	23.27753	21.38358	21.45964	24.01742	22.79374	23.63168	22.6884
TKT	23.59707	23.75379	24.40165	25.09067	23.76253	22.5976	24.1368	24.82561	24.42892	24.74837	23.79442	24.69742	25.56535	24.74975	24.39761	24.02572	26.30049	25.01099
PRDX6	21.80978	22.26075	22.78953	21.68735	22.49069	21.90731	21.71322	22.65259	21.15215	20.25096	22.5185	20.69319	20.87094	21.81948	21.08984	22.29771	21.77145	18.8181
BLVRB	21.72384	20.71892	22.9025	21.50242	23.36172	21.01025	23.09016	24.50385	21.36837	20.3024	23.34042	21.94928	22.5981	20.9747	20.91678	21.516	22.05009	21.52607
RPL12	22.97179	22.94528	22.41059	22.38007	22.93905	22.37459	22.55471	22.93988	22.79984	22.36546	23.52886	23.59821	22.05702	23.53469	23.6309	23.86325	22.80162	21.41209
PEBP1	21.96099	22.26697	23.00177	22.69209	22.92533	21.4892	22.21027	23.46039	21.5197	21.39399	20.26865	21.96226	22.15515	22.05106	20.58123	21.8589	21.47249	21.79186
SERPINB1	20.94978	20.25361	20.4913	19.43687	22.31507	20.94514	22.09104	22.59282	21.47393	21.63936	22.0495	22.14734	22.11534	21.20842	23.61279	21.61921	20.69787	21.82299
CORO1A	21.27776	22.54369	21.46389	21.63338	23.27611	21.76	22.60501	23.20488	22.48861	23.48087	24.17737	25.10509	23.89948	23.55368	23.87258	23.53303	22.94671	24.01385
HNRNPH3	21.21697	21.43293	21.71058	22.52404	21.81617	21.63949	21.64364	21.46777	21.56987	22.45754	20.93747	22.85119	22.25707	21.96282	21.18556	21.58944	21.59049	22.14479
SFN	21.80104	21.8482	21.91885	22.0176	22.32877	21.04966	21.23322	22.51027	22.34711	22.45854	21.21484	21.55436	22.82966	21.65827	22.67807	22.63482	23.65916	23.51557
S100A11	22.5069	21.31705	22.94931	22.69283	22.64064	22.07673	21.0484	23.08114	22.5909	22.21904	21.18707	21.8836	23.07238	23.35756	23.25954	23.48824	23.02861	23.21741
PRDX2	24.79338	23.47605	25.01005	24.29327	24.87488	23.43962	24.8075	25.4386	24.77455	23.00589	26.02473	24.45394	25.02808	24.24931	23.47085	25.08784	24.15051	24.19708
RPL9	22.52416	20.18894	22.28258	22.71266	23.29894	23.15552	21.61531	22.73944	22.47887	22.06233	23.1547	22.89021	22.05923	22.79992	23.13064	23.28461	22.16533	21.9163
PHB	22.89432	24.00727	23.10101	22.93544	23.16277	22.93108	23.41596	24.1946	23.68024	22.83322	23.88073	23.32608	22.9676	23.23355	23.51761	23.92832	23.89134	22.79503
RPL22	23.3362	21.78417	22.79029	22.82736	23.59001	23.20998	23.07483	23.72119	23.27313	23.89245	24.1795	24.72244	24.09619	23.99568	23.83547	24.23052	23.46949	24.37232
MYH9	22.55009	21.51629	22.32553	25.16108	22.48008	22.95842	23.0278	21.64086	22.12651	23.06937	22.21327	21.62707	22.42029	22.48589	23.16042	22.31241	24.21519	22.32501
DLST	20.252	20.88614	20.29827	20.2903	20.02648	20.43217	20.6479	20.13558	20.98468	20.00017	21.33647	20.4002	19.80991	20.69532	21.04634	20.33211	20.87267	20.55581
TAGLN2	23.72161	20.83522	24.74494	24.9362	25.3048	24.35756	23.38153	23.95438	22.94489	23.38693	23.34597	24.53979	23.44012	24.05142	23.58486	25.06238	24.62945	23.37782
RBMX	23.73335	22.89491	23.2208	24.45067	24.70962	24.24829	23.84067	24.18246	23.77223	23.7452	22.75752	24.41196	24.12132	24.13759	23.08335	23.58291	23.69753	23.91388
HSPA9	21.77318	23.1519	21.86669	23.19156	22.17761	19.67345	21.07294	22.7083	22.4836	21.74012	21.74094	22.06641	22.77378	21.6753	22.6409	22.43227	23.69604	22.40153
EIF4A3	21.02945	21.80719	20.6281	21.3783	21.92278	21.06638	20.60784	21.64408	22.34267	22.14641	21.03745	21.71578	22.05547	21.71368	21.61095	21.84751	22.16662	22.3227
RPS19	23.27042	23.60433	23.29642	23.20341	23.60026	23.90325	23.5316	23.56104	22.97232	23.95819	24.04618	24.09434	24.02943	24.28107	24.3581	24.39859	23.46613	23.67131
RPL3	22.21815	22.35281	22.31813	22.46615	22.63502	21.60738	22.02273	22.71106	22.81392	23.66601	23.39558	23.42381	23.50567	21.70552	23.10023	23.28828	22.49248	24.24075
ANP32A	22.42532	22.88026	22.26536	22.21656	23.24815	22.46702	23.07225	23.24431	23.46339	23.2378	21.36938	22.10588	24.12935	23.39924	22.67342	22.77836	22.55086	22.99352
RPL13A	22.92799	21.73798	23.13028	22.91674	23.08539	23.34679	22.70309	23.3839	23.15667	23.58589	23.76263	23.80282	23.63976	23.17324	23.9757	24.03398	22.8645	23.93031
MDH2	23.93643	23.81392	24.69811	24.03993	23.3676	22.87815	23.65513	24.94936	24.19333	23.47914	24.85553	24.04385	24.61448	23.74335	23.75939	24.21519	24.26521	24.77002
ECI1	21.47373	21.74476	21.91969	20.64438	22.05404	21.71352	21.36848	23.31063	22.33413	20.39132	21.99179	21.46154	21.78839	21.21181	21.06579	20.84797	21.82501	20.61612
RPL35	22.28687	22.45583	21.9606	22.47667	22.35477	21.90984	22.06237	22.13025	21.88535	23.50519	22.62623	22.7326	22.79956	22.48525	23.01255	23.06594	22.7779	22.74466
RPL27A	23.33402	21.77185	22.98886	22.12947	23.39021	23.44518	23.35326	23.39349	23.19855	24.13297	24.03699	24.31576	23.74868	23.56628	24.10342	23.97989	23.11647	24.00556
RPL5	22.17265	21.84468	21.77571	21.92517	22.1332	19.06179	20.90617	22.71055	22.65589	23.26728	22.34687	23.31603	23.21036	22.21824	23.40419	23.44088	22.90196	23.05373
RPL21	23.3507	22.57119	22.37785	22.71358	23.19939	23.51593	22.92698	23.30076	23.01706	23.90463	24.12935	24.18495	23.49204	23.30215	24.17646	23.95828	22.93002	23.88288
RPL28	23.12901	22.76292	23.11729	23.01954	22.88582	22.9426	22.8931	22.87549	23.1218	24.14297	23.3656	23.7124	23.58795	23.17601	23.85643	23.68282	22.47699	23.86372
RPS9	24.41525	22.53694	24.66953	24.59793	24.76451	23.78347	24.06077	24.5715	23.91588	24.16798	24.8616	25.28228	24.09249	24.79382	24.64537	25.16465	24.36513	24.39297
RPS5	22.43438	22.28898	22.39129	23.18201	22.8751	22.56702	22.82786	22.85171	22.4548	22.55143	23.1818	23.83297	22.37287	23.51316	22.57288	23.11858	22.7058	22.74016
RPS10	23.41931	23.78187	23.38798	23.59206	24.11004	23.75236	23.61997	23.83731	23.00985	23.89245	24.57508	24.35326	22.74821	23.86278	24.42963	24.23885	23.04212	23.59537
CAPZA2	21.48281	21.16441	22.06582	21.26213	21.59459	21.36169	21.61728	21.71862	21.42839	20.2201	21.17347	21.74755	20.26453	21.64588	21.55581	21.40577	20.89881	20.14681
RPL29	22.43784	22.04853	22.21252	22.66249	22.2299	22.02672	21.98311	22.85382	21.89301	22.5613	22.6156	23.1125	22.87865	22.42995	22.56779	22.85717	22.20973	23.44594
ATP5O	21.20449	21.27889	22.53808	21.36062	21.23777	20.52717	21.64267	23.25595	21.69575	21.45784	22.32512	21.74065	22.0433	21.56062	21.60408	22.68104	21.90533	22.45754
ALDH9A1	22.77193	22.41171	22.49236	23.07253	23.02445	21.37873	22.58795	23.40976	22.57552	21.85984	22.09016	22.70691	22.84299	22.15106	21.87313	23.488	22.29465	22.15718
RPL34	22.40356	21.74312	21.78229	22.82153	23.1963	22.94787	22.00861	22.78285	22.47857	23.23052	23.21778	23.3573	22.75071	22.59448	23.11821	23.17957	22.54286	23.03768
FASN	23.38877	21.36228	23.33006	23.99878	24.56098	24.08918	15.27845	23.53683	24.98403	21.95553	23.28263	22.19788	23.56023	23.02244	19.42136	24.58182	22.49712	22.30449
TUFM	21.79693	22.4244	21.9978	23.17627	22.72213	19.8054	22.18743	22.64293	21.89852	21.63759	21.45091	22.9639	23.22867	22.02344	22.36874	21.34039	23.44354	23.44215
SRP9	19.6945	21.82772	19.1881	20.54491	21.2114	21.80085	20.66631	21.33342	19.3626	20.65779	19.55186	20.92172	21.75801	21.32174	20.86529	19.88755	19.95518	19.702
HINT1	23.78865	23.11369	23.07946	21.89364	23.87014	22.26814	22.95193	23.78766	22.81296	20.26488	22.06779	23.55906	23.99576	22.70187	22.05205	23.26985	23.20024	22.66014
EMD	20.74706	21.5443	19.88517	20.28861	21.08894	21.29524	20.44779	21.00292	20.62774	21.25742	19.75297	20.65604	21.24232	20.24039	19.83558	19.63527	20.40852	20.82058
SERPINH1	22.9726	23.0561	21.87968	22.49028	20.97162	22.30719	22.05937	20.71632	22.06022	21.33936	23.22215	21.97736	20.29255	22.62214	22.82293	22.46259	22.13574	21.0193
RPL14	21.56239	20.95376	21.73665	22.31338	22.17557	22.0046	21.26614	22.00175	21.40083	21.92607	21.93855	22.49526	22.25609	21.97428	22.33615	22.88114	22.66388	22.88453
CCT4	20.55497	21.51586	20.00826	21.18858	20.85544	20.06474	20.8836	20.96649	21.25903	21.55239	21.3966	21.11152	21.2297	22.01832	21.78987	21.33816	22.89314	21.53069
SSR4	20.79384	20.46054	19.55957	21.43979	21.03839	21.07666	20.48778	20.79638	20.0212	21.34581	22.7136	21.7144	20.75385	21.00148	21.73769	21.213	21.3641	21.23327
HDGF	21.60196	22.17621	21.93923	22.13326	22.63502	21.14936	22.40143	21.59682	22.71894	23.61246	21.73475	23.0492	22.71948	22.9214	22.15085	22.87485	21.79499	21.16754
LUM	26.46167	24.62064	25.321	24.16277	24.4309	24.32738	26.41778	23.91442	24.64933	24.82085	24.64872	23.13963	25.03183	25.1658	22.8482	22.93256	22.76975	25.28072
PRELP	25.6771	24.16561	23.97544	22.92209	23.95287	24.57138	24.39702	24.13203	22.81627	22.8442	23.2953	21.76336	22.70295	23.27028	20.63201	20.13734	20.77684	22.90621
HNRNPA3	23.11079	23.84307	23.23755	24.82031	24.54693	22.85675	23.53112	24.17896	22.8108	23.89319	22.83291	24.41532	24.63638	24.26799	23.59514	22.95082	24.21993	24.03515
HNRNPM	25.3581	25.48419	24.24285	25.12052	25.64273	24.7752	25.89122	25.28178	25.53537	26.01248	24.30006	25.92112	26.52069	25.74881	25.31879	25.05026	25.4887	26.4202
ARHGDIA	22.79507	23.22317	23.25926	22.71963	23.25911	21.8546	22.97537	23.6445	22.95736	22.13984	22.82059	23.86022	22.55667	22.70206	22.47041	23.09541	23.16812	21.91156
HNRNPF	21.67612	22.63854	21.172	23.11609	23.25537	21.70468	22.55733	22.67848	22.56962	22.20261	21.53815	23.0686	22.71601	22.84694	21.79939	22.12622	23.30591	21.79511
