Gene	ER	ER.1	ER.2	ER.3	TNBC	ER.4	TNBC.1	ER.5	ER.6	ER.7	ER.8	ER.9	TNBC.2	ER.10	ER.11	TNBC.3	ER.12	ER.13	ER.14	ER.15	TNBC.4	ER.16	ER.17	ER.18	ER.19	TNBC.5	ER.20
ARF3	0.484986754	-0.152944196	-0.590816051	-0.792703338	-0.862092206	-0.872690113	-0.689569022	-0.644003551	-0.788291218	1.485522345	-0.2506314	1.130624844	0.079867534	0.329965424	-0.114443094	0.070500229	-0.423872533	-0.337419455	-0.62515135	0.865802803	-0.320108775	-0.360768757	-0.503290768	-0.164603388	0.58635155	-0.545222512	-0.531079546
ARF4	0.631028575	-0.348648809	-0.470182425	-0.783772722	-0.794844086	-0.737267369	-0.79864289	-0.519709116	-0.747829045	1.799844351	-0.264858648	1.406339001	0.073595447	0.954651717	-0.037065385	-0.014448005	-0.671852552	-0.261643306	-0.851143139	0.998784334	-0.189057656	-0.42584531	-0.404195796	-0.187418858	0.708494798	-0.621311463	-0.365776253
ARF5	0.49709251	-0.129813562	-0.578761517	-0.702853815	-0.815043244	-0.818275483	-0.504446894	-0.613910638	-0.677038208	1.578230012	-0.277500691	1.146554765	0.020174186	0.504472195	-0.225314876	-3.75e-07	-0.398282854	-0.365717331	-0.771110356	0.802828155	-0.2970464	-0.273373469	-0.542914021	-0.301925962	0.599674821	-0.606276141	-0.468374422
ARF6	0.476442695	-0.058220545	-0.566697667	-0.62435123	-0.885035477	-0.90746971	-0.536809948	-0.155079586	-0.428555242	0.970963727	-0.205458318	1.097311878	0.047484312	0.753785988	0.402052277	0.036841832	0.194470155	-0.242290808	-0.295200658	0.46320778	-0.26846011	-0.308644764	-0.252101249	-0.397125591	0.624892568	-0.23084454	-0.593551414
ARFGAP1	-0.411388267	-0.051654168	-0.099615457	0.114426752	-0.114243027	-0.321441386	-0.114166432	-0.172569813	-0.468541479	0.375379414	-0.155555813	-0.05538361	0.057935921	-0.022795713	0.185159361	0.139409557	-0.547188698	-0.194553782	-0.364729748	0.206669454	0.059968444	-0.027247915	-0.062926762	0.051192732	-0.08888608	-0.340927406	0.318128632
ARFGAP2	0.025649881	0.003974304	0.157075949	0.043371698	-0.295207577	-0.117161219	-0.353133429	-0.22481363	0.175578358	0.148506339	0.136898667	0.048749074	-0.038706742	-0.031698525	-0.002834135	-0.117881976	0.30505934	-0.174350862	-0.048367376	-0.219942019	0.069931614	0.142767866	0.122553733	-0.024982494	0.64820463	-0.214659147	-0.050202892
ARFGAP3	-0.870657612	-0.27671404	0.364875955	-0.090656167	0.053828405	-0.146121376	-0.497012004	-0.059288574	-0.550809929	0.054335504	0.029771905	0.148059838	0.394963279	0.190417742	-0.291933085	0.286353401	-0.567858073	-0.172950624	0.136577226	0.086316655	0.245659093	-0.623794584	0.273047987	-0.267678205	-0.226731603	-0.086123997	-0.221483128
ARFGEF1	-0.263538811	0.451641774	-0.157126511	-0.17192708	-0.002972045	-0.252025308	-0.646833642	-0.394827211	0.186618624	0.194469236	-0.343051972	-0.029116941	0.042393805	0.071992657	-0.211857982	0.019003171	0.209742548	-0.339110304	-0.311083957	-0.109723601	-0.149856977	0.045462887	-0.22860195	0.084929313	0.124096152	-0.301843094	0.220181421
ARFGEF2	-0.002744821	0.332050782	-0.094244856	-0.144286651	-0.263864116	-0.369628301	-0.321286142	-0.319014021	0.174739363	-0.044183122	-0.050110209	-0.212810728	-0.150153341	-0.133947962	0.173743818	-0.129092308	0.21956612	-0.128889842	-0.271076452	-0.411598587	-0.329889438	-0.052453098	-0.270943362	-0.124896494	-0.200512194	0.065173229	-0.051611011
ARFGEF3	0.178586557	-0.185834757	0.183065501	-0.148080151	-1.381617916	-0.145215433	-0.846083468	-0.055088781	-0.080648978	-0.494982591	0.062427177	-0.413014915	0.110892683	-0.273215771	0.327622975	-0.004363816	0.443741953	-0.182114349	-0.302795042	-0.32543214	-1.027059422	-0.408942676	-0.044822945	-0.993092312	-0.371025178	-0.460601393	-0.557278701
ARFIP1	0.79167333	-0.061240242	0.353803974	0.166374353	-0.080337475	0.291391097	-0.752012306	0.042947595	0.123993208	0.910481523	0.458801599	0.168264403	0.163252166	0.684099727	0.00864129	0.102950991	-0.081215105	-0.346331446	0.300773953	0.784718356	0.428079859	-0.009997261	0.213994779	0.898290206	0.355522595	-0.358742404	0.477630894
ARFIP2	0.454130356	0.028262616	0.138977119	-0.012426278	-0.659736556	0.124611801	-0.519897667	-0.303001768	-0.392645601	0.443515485	0.453759218	-0.105446363	-0.18662648	0.1984127	-0.000269273	-0.027654699	-0.004136458	-0.291123397	-0.077135834	0.825031292	0.687378856	-0.275198636	0.196191644	0.034354243	0.140604653	-0.493617344	0.035769825
ARFRP1	-0.321205434	-0.300754784	-0.047281148	-0.238781479	-0.780923824	-0.864002058	-0.109027671	-0.432741837	-0.197439667	1.184620654	0.078978861	0.131370651	-0.042503271	0.039059579	0.373464237	-0.153627707	-0.476571618	0.068459816	-0.131331487	0.428678228	0.436232589	-0.412070037	0.015005741	-0.052594356	-0.062200249	0.227699439	0.013740095
ARGLU1	-3.062752314	0.226054609	0.602807293	0.259453058	0.47701431	0.827559558	0.959212958	-0.259730081	0.071144128	-3.129348826	0.087611421	-2.257013795	0.147891268	-1.609256711	0.460236753	0.215397704	0.558351742	0.151574379	0.492626189	-1.503091937	-1.151846351	0.219716689	-0.402129901	-0.272038414	-2.361819356	-0.632206498	-0.119154088
ARHGAP1	0.51872111	-0.13476212	0.145330767	-0.206752644	-0.168606657	-0.287577503	-0.635272033	-0.016273831	-0.48965533	0.767819184	0.22881914	0.839784614	0.056686193	0.518843096	-0.059341381	0.108893252	-0.938624236	-0.181128242	0.05544729	0.69715823	-0.047431901	0.307352778	0.133535744	-0.377050595	0.442210161	-0.329992253	0.137229476
ARHGAP10	0.530022425	0.390319095	-0.237619918	0.210095994	0.308228647	-0.051514291	-0.564028404	0.131500652	0.000187597	1.063279858	0.059228988	0.300509971	-0.142489154	0.925033855	-0.260179242	-0.103420225	-1.087847323	0.236051792	-0.082205288	0.658250969	0.651370802	-0.046844649	0.444088408	0.530497564	0.610538792	0.200282245	-0.190054715
ARHGAP12	-0.07035343	-0.073120984	0.083040202	0.084573895	-0.33182067	0.198323187	-0.110237745	0.052476574	0.354689025	-0.788742977	0.137977047	0.130441302	0.352844196	-0.225718751	0.169707626	0.322518087	0.116274514	0.093311436	0.271618651	-0.308077173	-0.366828033	-0.845227199	-0.117513331	-0.203213353	-0.463965442	-0.189885022	-0.253587583
ARHGAP15	-0.981039544	0.684587757	-0.395390656	0.417709056	0.114746748	0.594361936	-0.053472764	-0.015054714	-0.296760509	-0.738859443	-0.076651251	-2.142378003	0.167100639	-1.044011661	-0.65518382	0.194504443	-0.455596132	0.8589653	0.982167598	-0.156011372	0.245078226	-0.028563502	-0.026428757	0.348862158	-0.129760656	0.297323923	-0.229456769
ARHGAP17	-0.257277293	0.294141492	0.024067088	0.305500353	0.398989348	0.163256841	0.145664827	0.113769421	0.079073945	0.057358836	0.003674783	-0.044446522	0.171551709	0.286782795	-0.140588834	0.164473449	-0.598345858	0.096870445	0.029432706	0.086177691	-0.083903002	-0.229714963	0.152178375	0.280709236	0.436132377	0.190449555	-0.287070126
ARHGAP18	-0.3250581	0.391776631	0.20011742	0.469457418	0.13305975	-0.004553477	-0.549040195	0.169099331	0.072932631	-0.364217454	0.118054287	-0.210175691	0.297908044	0.07169432	-0.160762433	0.34329105	-0.636628275	0.154378337	0.275583559	-0.071814433	0.137440385	-0.138865627	0.09668168	0.492884335	-0.306623004	0.286363137	0.020863081
ARHGAP21	0.114584168	-0.168198564	-0.202716236	0.245363777	0.563263173	0.214816719	0.073490451	0.390139719	0.050686006	-0.209487848	-0.160601139	-0.226024841	0.081649294	-0.595106064	-0.22626185	-0.036906889	0.010891937	-0.16396531	-0.145844932	-0.246042581	0.040562238	-0.128507037	0.020483438	-0.099192505	-0.554156705	0.251588811	0.176692525
ARHGAP23	0.874331187	-0.668765833	-0.60107255	-0.265704699	0.252367661	-0.512596186	0.087514537	0.285837733	0.023817415	0.14479466	-0.546909242	1.136333874	-0.090585834	-0.083669642	-0.28515704	-0.075767029	-0.353452036	-0.093716522	-0.307686716	0.558612087	0.501355209	0.009093128	-0.084184226	-0.208623947	0.635765472	0.160492165	0.188852894
ARHGAP24	-0.192902471	-0.033041605	0.076867297	0.324167564	0.389256263	0.439460184	-0.56408463	0.914052743	0.083569286	1.001874087	0.569520158	1.67269997	-0.043765597	0.809604876	0.079598192	0.046705573	-0.48462983	0.058440741	0.876416445	0.289215243	0.630123381	-0.082439875	0.699870793	-0.196080126	0.663818101	0.409226568	-0.177179328
ARHGAP25	-0.024251584	0.706144853	-0.378142194	0.443863875	0.055268888	0.183566366	-0.208220934	-0.047466913	-0.475497089	0.812316006	-0.163083424	-0.08567501	0.373588798	-0.075615367	-0.440930667	0.332113089	-0.74259056	0.884584676	0.581091168	0.267281421	0.473337286	-0.196895841	-0.140463568	0.420803169	0.836283414	0.653333517	-0.37386529
ARHGAP26	0.674865642	-0.043162653	0.301055368	0.669961198	0.286193753	0.522993806	-0.476473485	0.047229945	-0.308524913	-0.076978116	0.108750886	-0.143538673	0.343471773	-1.890723984	-0.439350905	0.141688186	-0.818777433	-0.132696551	0.45448364	0.584701774	-0.0080902	0.652518352	0.251071886	1.172388714	0.884481665	0.597897491	0.994363373
ARHGAP27	0.040317492	0.193515209	-0.137912727	0.045621189	0.081567727	-0.016514251	-0.085892192	-0.042208996	-0.374251079	-0.555456517	0.04731031	0.000747059	0.266865045	-0.118563827	-0.441326647	0.257540101	-0.458426238	0.193289724	0.307957722	0.440630423	0.009029654	0.547326109	-0.11465517	0.170500765	0.255367806	0.117656002	0.014839693
ARHGAP29	0.440181425	-0.237524566	-0.308105594	0.403532591	-0.071530631	-0.289588198	-1.201158637	-0.110467419	-0.322153388	-0.734448459	0.091293157	-0.233032173	-0.171190647	-0.377560923	0.055859509	-0.205844012	0.032421167	-0.494497955	-0.648069414	0.510326791	0.181091782	0.260989113	-0.205356233	-0.350982869	-0.501062675	-0.237006301	-0.34854679
ARHGAP30	-0.223380625	0.670103899	-0.225244046	0.351691952	0.082302174	0.113108764	-0.143091121	-0.004309021	-0.209946651	0.591118008	0.040278356	-0.126194486	0.333174076	-0.578973241	-0.355757094	0.286929612	-0.639184275	0.782474584	0.641738963	0.237630646	0.008087249	-0.247499733	-0.251670618	0.49094342	0.475109808	0.699873615	-0.196785633
ARHGAP31	0.281963193	-0.151223157	-0.224406028	0.15387503	0.206308475	0.033353682	0.214492615	0.146587906	0.089830707	0.785462707	0.111380233	0.251115653	0.352948498	0.353108626	-0.049785018	0.262878182	-0.539666938	0.152923072	0.335743103	0.132491246	0.230030153	-0.082974501	0.148613163	0.312713698	0.51841202	0.377750354	0.166149002
