"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"74","ATRN_HUMAN","AR_vs_STA",-1.47467711630908,0.668738140189024,-2.20516376693014,8,0.0585207525748759,0.254518290922751,NA,0.686111111111111,0.297222222222222
"75","ATS1_HUMAN","AR_vs_STA",1.4318760001727,0.681388513493252,2.10140906666,5,0.0895929154174213,0.304949115298519,NA,0.866666666666667,0.216666666666667
"76","B2MG_HUMAN","AR_vs_STA",0.932672291252516,0.817557360492471,1.14080349137913,10,0.280535879036512,0.501947789558982,NA,0.719387755102041,0.168367346938776
"77","B3GN1_HUMAN","AR_vs_STA",-1.55145603079425,0.564770517791594,-2.74705563041935,7,0.0286252813969452,0.194506027931874,NA,0.680555555555556,0.305555555555556
"78","B4GT1_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.666666666666667,0
"79","BAMBI_HUMAN","AR_vs_STA",-1.00286610434673,0.712440089500532,-1.4076497366253,7,0.202057244201094,0.439988125550791,NA,0.5,0.25
"80","BASI_HUMAN","AR_vs_STA",-1.21183733126222,0.350310325518952,-3.45932518394082,6,0.0134783984650708,0.161125421497176,NA,0.736111111111111,0.180555555555556
"81","BASP1_HUMAN","AR_vs_STA",-0.620271268760374,0.58314846828326,-1.06365926088497,8,0.318532300684206,0.533146262138103,NA,0.666666666666667,0.291666666666667
"82","BCAM_HUMAN","AR_vs_STA",-1.06017019580654,0.680750557745484,-1.55735486918677,6,0.170394210636822,0.404829198425737,NA,0.630952380952381,0.297619047619048
"83","BGAL_HUMAN;GLB1L_HUMAN","AR_vs_STA",-1.67960250125063,0.829921281044851,-2.02380941375072,8,0.0775988183583205,0.288964844729421,NA,0.793103448275862,0.224137931034483
"84","BHMT1_HUMAN","AR_vs_STA",-0.952674687609438,0.612068449612415,-1.55648390014664,8,0.158205448528808,0.391641459994391,NA,0.730769230769231,0.307692307692308
"85","BID_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.791666666666667,0
"86","BMPR2_HUMAN","AR_vs_STA",-1.77656938958325,0.655393644912238,-2.71069059545298,6,0.0350738675592082,0.206935818599328,NA,0.333333333333333,0
"87","BPI_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"88","BPIB1_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"89","BROX_HUMAN","AR_vs_STA",-1.64600018500393,0.758228953800988,-2.17084849734709,3,0.118361674041733,0.337903488796561,NA,0.902777777777778,0.0416666666666667
"90","BST1_HUMAN","AR_vs_STA",0.324397042975708,0.522200967237732,0.621211110909387,3,0.578465590256088,0.752855952024468,NA,0.833333333333333,0.111111111111111
"91","BT2A1_HUMAN;BT2A2_HUMAN","AR_vs_STA",-0.923959689509201,0.716698615779989,-1.28918860615302,8,0.233356380081768,0.470701758113652,NA,0.525,0.358333333333333
"92","BTD_HUMAN","AR_vs_STA",-0.757759633405409,0.543295996165449,-1.3947454771499,10,0.193298489875045,0.43153773754159,NA,0.75,0
"93","BTLA_HUMAN","AR_vs_STA",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.888888888888889,0
"94","BY55_HUMAN","AR_vs_STA",-0.410338753873431,0.490169114380583,-0.837137106020985,4,0.449616133277718,0.643087317900251,NA,0.75,0.25
"95","C1R_HUMAN","AR_vs_STA",0.0750374001844284,0.624476470709637,0.120160492354753,7,0.907732143064706,0.955489989034916,NA,0.861111111111111,0.261111111111111
"96","C1RL_HUMAN","AR_vs_STA",-1.5184478787755,0.56193310495753,-2.70218619508146,9,0.0243065180797131,0.183340133836094,NA,0.677777777777778,0.227777777777778
"97","C1S_HUMAN","AR_vs_STA",0.192359391900893,0.460377740239576,0.417829480202044,3,0.704176119806085,0.836988925334973,NA,0.953703703703704,0.0462962962962963
"98","C4BPA_HUMAN","AR_vs_STA",2.02314784697186,NA,NA,0,NA,NA,NA,0.96969696969697,0
"99","C163B_HUMAN","AR_vs_STA",0.00910260169836799,0.531565270351774,0.0171241467531243,3,0.987412770991761,0.993194559755144,NA,0.75,0.166666666666667
"100","CA159_HUMAN","AR_vs_STA",-0.585828176785403,1.09676461112609,-0.534142122058363,2,0.646666776228626,0.801821501873672,NA,0.666666666666667,0
"101","CAD11_HUMAN","AR_vs_STA",-1.31650690262981,0.826363784260654,-1.59313238032048,10,0.142214796949943,0.372918800890963,NA,0.764285714285714,0.307142857142857
